Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
-90,-26.57,-149.04,-49.4,-123.69,123.69,-30.964,0
-93.01,93.81,-71.57,90,90,-4.764,77.196,-131.186
21.8,-21.8,-122.47,80.54,30.964,75.069,-51.34,123.69
-176.42,165.96,65.77,-114.44,-77.471,-131.634,90,123.69
-9.46,-93.37,-52.13,59.04,-33.69,-86.424,-116.565,67.62
-147.72,98.37,-90,-90,-90,35.538,-90,153.435
-40.6,180,-113.2,-90,82.875,63.435,-156.801,-135
66.04,167.91,84.29,37.476,3.814,7.125,90,41.634
11.31,63.43,97.13,122.829,90,180,72.646,-92.291
180,-116.57,180,70.017,50.906,0,70.346,61.39
90,109.18,60.64,-133.152,114.775,107.354,-141.71,-161.565
-122.47,-45,19.98,-176.73,-61.699,109.29,102.529,-71.565
52.13,-135,90,-148.392,-9.462,-23.199,57.529,-139.764
-135,61.11,90,-90,-7.125,-21.801,30.964,72.35
-137.73,151.7,26.57,85.914,78.69,-39.289,180,82.875
39.4,100.3,69.78,135,-7.125,131.987,-149.534,0
38.66,-150.26,130.1,-90,180,0,-111.801,135
0,101.31,79.99,-94.764,45,-90,0,-45
53.84,172.41,161.57,39.806,99.462,-132.879,90,53.973
-33.69,94.4,84.81,-71.565,-81.254,84.806,18.435,90
57.99,123.69,92.39,-61.189,-35.538,104.036,-51.34,-28.61
146.31,90,59.04,-140.711,-36.87,-57.995,6.34,-51.34
-153.43,139.4,48.01,-63.435,-81.87,-158.199,-98.13,-22.38
-104.04,-39.81,71.57,51.71,180,0,66.801,-8.13
75.96,-68.2,-171.03,8.746,-90,-85.236,-168.69,-85.236
146.31,90,-151.7,-96.34,-10.305,24.775,-135,-137.291
-77.47,-130.6,141.34,74.055,-131.186,-147.529,24.775,63.435
-8.13,-24.44,-131.99,-92.726,-90,-112.834,-5.194,-11.31
125.54,-72.35,104.04,93.814,-90,-48.013,0,85.236
97.13,-101.31,-90,11.31,-9.462,-163.301,21.038,94.086
90,-48.37,-90,56.976,-45,-157.521,70.346,45
0,-82.41,-135,-175.601,84.806,-36.027,78.69,-28.301
85.601,151.7,145.01,-97.125,71.565,-75.069,180,120.256
111.801,-150.95,71.57,52.125,-30.964,21.038,20.556,0
153.435,-104.93,49.76,11.31,-14.036,30.964,-7.125,-45
-95.711,-165.96,123.69,119.745,18.435,115.017,68.199,-125.538
9.462,-122.74,-90,-102.529,59.744,90,71.565,-154.654
0,74.05,172.87,53.13,-153.435,-68.199,-84.289,-90
-173.66,-84.81,-78.69,-97.125,5.194,66.801,51.843,-169.695
-21.038,-102.8,146.31,-100.305,57.095,140.194,-45,180
-90,138.01,84.29,-81.87,66.801,4.399,95.194,-30.964
7.595,-112.83,-100.3,-157.62,-132.797,-42.51,135,45
-12.529,-90,135,141.34,4.399,-79.695,-79.38,-90
86.82,141.34,-167.01,0,-81.87,57.529,-153.435,45
59.036,-102.99,54.25,-145.008,146.31,53.13,105.255,-45
-96.34,-116.57,-25.02,60.255,171.87,45,-167.471,-30.964
10.305,-123.69,-71.57,90,-4.764,55.491,104.036,135
-172.875,0,-86.99,-97.125,95.711,0,-36.254,0
104.036,135,138.81,-128.66,98.746,-63.435,-23.199,-149.036
-118.61,-135,-170.54,0,90,0,-30.964,45
106.699,-104.04,-87.51,-167.471,45,12.529,-51.34,45
3.814,90,-4.76,123.69,31.608,165.964,30.964,-80.538
-82.875,0,68.96,-97.125,125.538,-94.086,74.055,-33.69
73.301,180,-7.13,158.199,135,-90,-8.13,135
-84.289,-6.34,180,-66.801,50.906,-100.305,143.13,-81.87
180,165.964,35.22,94.764,132.709,-81.254,-41.186,0
108.435,102.995,-15.26,-45,36.87,39.806,14.036,-30.964
-45,29.055,0,-82.875,137.726,75.256,100.305,45
161.565,18.435,-102.99,6.34,-124.992,84.806,14.036,84.56
99.462,-153.435,90,26.565,12.995,78.69,-147.995,-114.775
-169.695,-132.709,-172.87,-90,81.254,50.906,-135,60.255
90,84.289,-170.54,95.194,21.801,62.103,168.69,38.66
0,90,125.54,98.13,-7.125,-14.036,69.444,83.66
0,160.017,135,-99.462,97.125,13.241,72.897,90
-171.87,-172.405,176.19,90,63.435,-102.529,69.444,-51.34
-174.806,-96.34,-160.35,-153.435,-171.87,-90,-85.601,-77.471
-95.711,16.699,-85.24,100.305,-138.814,41.186,65.556,18.435
-90,122.735,139.4,-18.435,85.236,116.565,82.875,-90
