Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
,,,,115.02,9.46,73.61,
,,,,168.69,3.37,-95.19,
,,,,135,-90,-48.01,
,,,,95.44,-139.4,67.75,
,,,,0,116.57,-139.09,
,,,,-73.61,170.54,-80.13,
,,,,77.01,63.43,-53.13,
,,,,-71.57,19.65,-113.96,
,,,,-11.31,73.07,-135,
,,,,48.58,-71.57,73.3,
,,,,-34.51,-90,139.09,
,,,,4.4,-71.57,-96.01,
,,,,-71.57,28.81,116.57,
,,,,-77.47,82.87,163.61,
,,,,-63.43,-66.8,146.31,
,,,,-33.18,-90,131.63,
,,,,26.57,0,-43.03,
,,,,84.29,-96.01,120.96,
,,,,-35.84,-131.19,-103.24,
,,,,-46.74,137.49,-104.04,
,,,,0,-77.47,20.77,
,,,,7.13,157.17,-41.19,
,,,,-63.43,-63.43,4.4,
,,,,169.7,47.49,-162.65,
,,,,-27.9,-4.4,33.69,
,,,,94.76,148.24,-55.01,
,,,,76.61,135,68.2,
,,,,56.98,-36.03,-95.71,
,,,,-120.26,-40.6,1.64,
,,,,-140.19,-56.31,27.9,
,,,,0,48.37,-175.91,
,,,,117.76,75.96,-50.71,
,,,,-42.51,40.6,-75.07,
,,,,148.39,46.97,-51.34,
,,,,0,-105.95,75.96,
,,,,109.98,61.93,-153.43,
,,,,-90,-158.75,-141.34,
,,,,-159.44,-52.13,0,
,,,,124.99,40.6,0,
,,,,3.58,-45,96.34,
,,,,15.95,12.53,0,
,,,,21.8,160.56,161.57,
,,,,0,-78.69,-7.13,
,,,,86.63,-146.31,85.24,
,,,,41.99,-94.57,-120.47,
,,,,52.13,86.19,-164.58,
,,,,-90,-22.83,14.04,
,,,,-60.95,0,71.57,
,,,,81.87,-163.61,-16.31,
,,,,-6.34,3.01,79.11,
,,,,120.96,53.75,-35.54,
,,,,-90,16.99,-125.54,
,,,,84.29,3.18,-90,
,,,,153.43,149.04,37.75,
,,,,23.2,-4.09,-93.01,
,,,,-116.57,14.04,-63.43,
,,,,173.66,-135,-176.42,
,,,,-53.13,0,147.99,
,,,,-105.95,5.19,67.83,
,,,,160.02,21.8,159.44,
,,,,14.04,90,176.42,
,,,,-104.04,-60.95,-120.96,
,,,,60.26,56.31,0,
,,,,,-124.99,135,
,,,,,-169.7,42.71,
,,,,,-39.81,93.18,
,,,,,-66.37,-163.07,
,,,,,-154.18,-90,
,,,,,178.6,-96.01,
,,,,,14.04,-139.76,
,,,,,86.82,-52.31,
,,,,,108.43,-81.25,
,,,,,-45,-21.8,
,,,,,-41.63,-12.53,
,,,,,-17.02,-8.75,
,,,,,165.96,-8.13,
,,,,,90,-45,
,,,,,-75.96,-12.26,
,,,,,-162.65,-60.95,
,,,,,-176.05,-149.04,
,,,,,82.41,-66.04,
,,,,,1.68,-66.04,
,,,,,-6.01,-85.6,
,,,,,42.14,-51.84,
,,,,,30.96,-81.25,
,,,,,115.46,-65.1,
,,,,,-133.26,-30.58,
,,,,,30.96,30.07,
,,,,,36.03,-2.6,
,,,,,0,-168.69,
,,,,,28.07,-53.13,
,,,,,58.39,-47.12,
,,,,,-15.95,0,
,,,,,126.87,0,
,,,,,-86.31,132.71,
,,,,,12.09,-49.09,
,,,,,-161.57,-50.71,
,,,,,50.19,-45,
,,,,,6.34,45,
,,,,,0,171.87,
,,,,,-6.01,169.38,
,,,,,36.38,40.24,
,,,,,-28.3,45,
,,,,,22.62,108.43,
,,,,,-52.59,54.46,
,,,,,0,180,
,,,,,-17.1,83.29,
,,,,,156.04,45,
,,,,,-45,-170.54,
,,,,,0,72.9,
,,,,,-153.43,146.31,
,,,,,63.43,56.31,
,,,,,-75.96,,
,,,,,-142.59,,
,,,,,0,,
,,,,,-52.13,,
